vessel,group3,group4,median_length,median_speed,mean_speed,min_speed,max_speed,count,clusters,group1,group2,isolated?,length,width,tonnage,MMSI,Remarks,isolated_axial_calderas
Asphalt/Bitumen Tanker,,,183.06,130,123.7681159,97,139,207,2,Tankers,,0,134.54,17.23,9748,,,0
Bulk Carrier,Bulk,Cargo typeC,199.9,114,106.9330494,0,887,1229533,2,Dry Cargo,,1,282,45,175775,,,1
Buoy-Laying Vessel,,,68.8,132,130.7426901,1,153,171,4,,,0,,,,,,0
Cable Layer,,,139.15,104,86.19183286,0,130,1053,0,,,0,124.32,31.6,10543,,,0
Cargo,Dry Cargo,Cargo typeB,199,116,104.0290676,0,196,10596,2,Dry Cargo,,1,199.99,32,62689,,All the cargo vessels are bulk carrier in marine traffic,1
Cargo/Containership,Dry Cargo,Cargo typeC,217,214,178.3090978,45,251,5309,2,Dry Cargo,,1,199.9,32.29 ,55596 ,477444500,,1
Cement Carrier,,,139.95,25,25,25,25,1,0,Dry Cargo,,0,,,,,,0
Chemical Tanker,Wet Cargo,Cargo typeA,174.43,124,113.8003017,0,160,7291,0,Tankers,Liquid cargo,1,174.44,27.7,35332,538003929,,1
Container Ship,Dry Cargo,Cargo TypeC,262.18,193,181.2267406,1,957,48002,3,Dry Cargo,,1,366.52,48.35 ,13000 TEU,211578000,TEU is unit for measurement of number of containers,1
Crew Boat,,,36,124,123.1308411,53,132,214,1,Passenger,Liquid cargo,0,,,,,,0
Crude Oil Tanker,Wet Cargo,Cargo TypeC,255.9,63,68.48114498,0,913,146937,3,Tankers,,1,274.39,48.04,158466,247301100,,1
Deck Cargo Ship,Dry Cargo,Cargo TypeC,224.8,89,90.7125,46,112,80,2,Dry Cargo,,0,,,,,,1
Dive Vessel,,,12,133.5,116.0882353,75,137,34,1,Dive,,0,,,,,,0
Diving Support Vessel,,,74.83,64,64.23469388,42,86,98,4,Dive,,0,,,,,,0
Dredger,,,59,119,245.3333333,8,609,3,4,,,0,,,,,,0
Drill Ship,,,158,78,80.5,74,112,14,0,,,0,,,,,,0
Factory Trawler,,,22,104,107.8384279,32,147,229,1,Class A,,0,,,,,,0
Fishing,,,22,18,32.51138586,0,350,15853,1,Class A,,0,,,,,,0
Fishing Vessel,Fishing type,Fishing type,27.24,67,62.39899805,0,129,17965,1,Class A,,1,32.49,7.55,,367347000,,1
Floating Storage/Production,Other purpose,Cargo TypeC,228,129,127.4907975,46,136,163,2,,,0,,,,,,1
General Cargo,Dry Cargo,Cargo typeB,179.97,120,114.9680499,0,611,84851,2,Dry Cargo,,1,159.8,24.34,11937 ,218170000,,1
Heavy Lift Vessel,Other purpose,Cargo typeC,234.93,98,102.4849624,3,138,1330,2,Dry Cargo,Specialised cargo,0,,,,,,1
Heavy Load Carrier,Dry Cargo,Cargo typeA,169.4,134,122.2569061,15,158,1086,0,Dry Cargo,,1,169.4,25.73,10662,367782370,,1
High Speed Craft,,,81.15,175.5,174.625,166,183,16,4,,,0,,,,,,0
Hopper Dredger,,,118.47,106,105.5454545,97,122,55,0,Class A,,0,,,,,,0
Icebreaker,Other purpose,,121.62,138,131.7012658,56,165,395,0,,,1,121.62,25.33,7000,367255000,,1
Inland Supply Vessel,,,26,64,301,59,780,3,1,Inland,,0,,,,,,0
"Inland, Unknown",Other purpose,,0,63,59.91843972,1,127,1410,1,Inland,,1,,,,,,1
LNG Tanker,,,288.22,128,128,128,128,1,3,Tankers,Liquid cargo,0,,,,,,0
LPG Tanker,Wet Cargo,Cargo typeC,225.23,130,110.2257293,0,177,8364,2,Tankers,Liquid cargo,1,226 ,37 ,82000 cubic meters Liquid Gas,538006045,,1
Law Enforce,,,140,143,142.990099,134,149,101,0,,,0,,,,,,0
Livestock Carrier,,,89.3,113,111.3846154,104,116,13,4,,Specialised cargo,0,,,,,,0
Logistics Naval Vessel,,,208.71,149,144.5450928,26,205,754,2,Navy,,0,,,,,,0
Lpg Tanker,Wet Cargo,Cargo typeC,204.91,159,158.3793103,152,162,29,2,Tankers,Liquid cargo,1,,,,,,1
Military Ops,Military,,96,187,177.2255125,37,332,439,4,Navy,,0,,,,,,1
Naval/Naval Auxiliary Vessel,,,202.97,129,117.5971564,87,153,211,2,Navy,,0,,,,,,0
Offshore Supply Ship,Other purpose,,41.46,43,50.38429829,1,154,5337,1,,,1,41.46,10.37,428 ,338415000,,1
Oil Products Tanker,Wet Cargo,Cargo typeC,228.08,22,59.04817242,0,191,29602,2,Tankers,,1,179.8 ,32.2,45728,477463900,,1
Oil/Chemical Tanker,Wet Cargo,Cargo typeB,183,111,87.0937838,0,592,134970,2,Tankers,Liquid cargo,1,183.31 ,32.2 ,49828 ,369042000,,1
Other,Specialised cargo,Cargo typeA,140,155,141.8848315,0,240,356,0,,,0,,,,,,1
Passenger,Recreational,Recreational,28,105,107.7769572,0,574,677,1,Passenger,Specialised cargo,1,38.7,10.97 ,,366339000,,1
