,vessel,median_length,median_speed,mean_speed,min_speed,max_speed,count,clusters
0,Asphalt/Bitumen Tanker,183.06,130.0,123.76811594202898,97,139,207,2
1,Bulk Carrier,199.9,114.0,106.9330493772839,0,887,1229533,2
2,Buoy-Laying Vessel,68.8,132.0,130.74269005847952,1,153,171,4
3,Cable Layer,139.15,104.0,86.19183285849952,0,130,1053,0
4,Cargo,199.0,116.0,104.02906757266894,0,196,10596,2
5,Cargo/Containership,217.0,214.0,178.30909775852325,45,251,5309,2
6,Cement Carrier,139.95,25.0,25.0,25,25,1,0
7,Chemical Tanker,174.43,124.0,113.80030174187354,0,160,7291,0
8,Container Ship,262.18,193.0,181.22674055247697,1,957,48002,3
9,Crew Boat,36.0,124.0,123.13084112149532,53,132,214,1
10,Crude Oil Tanker,255.9,63.0,68.48114498050185,0,913,146937,3
11,Deck Cargo Ship,224.8,89.0,90.7125,46,112,80,2
12,Dive Vessel,12.0,133.5,116.08823529411765,75,137,34,1
13,Diving Support Vessel,74.83,64.0,64.23469387755102,42,86,98,4
14,Dredger,59.0,119.0,245.33333333333334,8,609,3,4
15,Drill Ship,158.0,78.0,80.5,74,112,14,0
16,Factory Trawler,22.0,104.0,107.83842794759825,32,147,229,1
17,Fishing,22.0,18.0,32.51138585756639,0,350,15853,1
18,Fishing Vessel,27.24,67.0,62.39899805176733,0,129,17965,1
19,Floating Storage/Production,228.0,129.0,127.49079754601227,46,136,163,2
20,General Cargo,179.97,120.0,114.9680498756644,0,611,84851,2
21,Heavy Lift Vessel,234.93,98.0,102.48496240601504,3,138,1330,2
22,Heavy Load Carrier,169.4,134.0,122.25690607734806,15,158,1086,0
23,High Speed Craft,81.15,175.5,174.625,166,183,16,4
24,Hopper Dredger,118.47,106.0,105.54545454545455,97,122,55,0
25,Icebreaker,121.62,138.0,131.70126582278482,56,165,395,0
26,Inland Supply Vessel,26.0,64.0,301.0,59,780,3,1
27,"Inland, Unknown",0.0,63.0,59.91843971631206,1,127,1410,1
28,LNG Tanker,288.22,128.0,128.0,128,128,1,3
29,LPG Tanker,225.23,130.0,110.22572931611668,0,177,8364,2
30,Law Enforce,140.0,143.0,142.990099009901,134,149,101,0
31,Livestock Carrier,89.3,113.0,111.38461538461539,104,116,13,4
32,Logistics Naval Vessel,208.71,149.0,144.5450928381963,26,205,754,2
33,Lpg Tanker,204.91,159.0,158.3793103448276,152,162,29,2
34,Military Ops,96.0,187.0,177.2255125284738,37,332,439,4
35,Naval/Naval Auxiliary Vessel,202.97,129.0,117.59715639810426,87,153,211,2
36,Offshore Supply Ship,41.46,43.0,50.38429829492224,1,154,5337,1
37,Oil Products Tanker,228.08,22.0,59.04817242078238,0,191,29602,2
38,Oil/Chemical Tanker,183.0,111.0,87.09378380380825,0,592,134970,2
39,Other,140.0,155.0,141.88483146067415,0,240,356,0
40,Passenger,28.0,105.0,107.77695716395864,0,574,677,1
41,Passenger Ship,289.52,181.0,181.93001651527663,17,235,4844,3
42,Passengers Ship,289.51,180.0,176.04402102496715,16,221,1522,3
43,Patrol Vessel,82.96,100.0,100.62857142857143,19,112,140,4
44,Pilot Vessel,11.0,4.0,4.0,4,4,1,1
45,Pleasure Craft,52.0,125.5,121.29323308270676,33,592,266,4
46,Port Tender,17.0,0.0,0.0,0,0,1,1
47,Pusher Tug,209.0,132.0,121.87974683544304,26,137,158,2
48,Radar Vessel,202.97,150.0,151.80985915492957,125,165,142,2
49,Reefer,150.0,154.0,153.179037111334,16,189,1994,0
50,Reefer/Containership,151.0,121.0,117.0024154589372,69,182,414,0
51,Replenishment Vessel,187.45,146.0,142.8569065343259,33,197,3627,2
52,Research/Survey Vessel,71.5,9.0,32.10379681223273,0,204,38585,4
53,Ro-Ro Cargo,199.52,141.0,104.43727189781022,0,195,4384,2
54,Ro-Ro/Container Carrier,264.6,159.0,160.56666666666666,154,226,30,3
55,Ro-Ro/Passenger Ship,38.7,97.0,97.18272171253822,2,146,1308,1
56,SAR,64.0,61.0,102.55102040816327,8,238,49,4
57,SAR Aircraft,0.0,125.0,124.359375,117,127,128,1
58,Sailing Vessel,41.0,63.0,65.9090909090909,7,131,550,1
59,Self Discharging Bulk Carrier,225.0,125.0,123.1869340232859,0,146,1546,2
60,Special Vessel,63.6,78.0,68.3758389261745,0,173,3278,4
61,Tanker,228.0,123.0,110.9832685482508,3,571,5917,2
62,Tanker - Hazard B,159.0,122.0,121.7231638418079,111,134,177,0
63,Timber Carrier,189.77,120.0,119.77589852008457,84,142,473,2
64,Towing Vessel,36.58,78.0,78.9439413540319,0,115,16233,1
65,Trawler,35.0,92.0,100.36899119837508,0,150,1477,1
66,Tug,37.03,95.0,90.54729331675067,0,858,30554,1
67,Tug/Supply Vessel,73.2,65.0,74.69860724233983,3,152,1795,4
68,Unspecified,28.0,110.0,105.97968397291196,2,230,886,1
69,Utility Vessel,79.71,33.0,49.4014598540146,1,112,137,4
70,Vehicles Carrier,199.94,148.0,139.15047970858345,0,933,97455,2
71,Wood Chips Carrier,199.96,123.0,119.30620046991358,4,156,25111,2
72,Yacht,47.87,128.0,119.78418329637842,8,158,1353,1
